flac 1.3.3-2
flashrom 1.2-2
flex 2.6.4-3
fluidsynth 2.1.6-1
fmt 7.1.3-1
folks 0.14-2
fontconfig 2:2.13.91+48+gfcb0420-2
fontforge 20200314-5
foomatic-db 3:20200822-1
foomatic-db-ppds 3:20200822-1
fprintd 1.90.8-1
frameworkintegration 5.78.0-1
freeglut 3.2.1-2
freeimage 3.18.0-7
freerdp 2:2.2.0-2
freetds 1.2.18-1
freetype2 2.10.4-1
fribidi 1.0.10-1
ftgl 2.4.0-2
fuse-common 3.10.1-1
fuse-overlayfs 1.3.0-1
fuse2 2.9.9-4
fuse3 3.10.1-1
fwupd 1.5.5-1
fzf 0.25.0-1
gajim 1.2.2-2
garcon 0.8.0-1
gaupol 1.9-1
gawk 5.1.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 10.2.0-4
gcc-libs 10.2.0-4
gcr 3.38.1-1
gd 2.3.0-1
gdb 10.1-4
gdb-common 10.1-4
gdbm 1.19-1
gdk-pixbuf2 2.42.2-1
gdl 3.34.0-2
gdm 3.38.2.1-1
geany 1.37.1-1
geany-plugins 1.37-3
geary 1:3.38.1-1
gedit 3.38.1-1
gedit-plugins 3.38.1-1
gegl 0.4.26-1
gendesk 1.0.6-1
geoclue 2.5.6-1
geocode-glib 3.26.2-1
geoip 1.6.12-2
geoip-database 20201222-1
gephi 0.9.2-2
gettext 0.21-1
ghc-libs 8.10.3-1
ghostscript 9.53.3-2
giflib 5.2.1-2
gimp 2.10.22-1
git 2.30.0-1
gjs 2:1.66.2-1
gl2ps 1.4.2-2
glade 3.38.2-1
glew 2.2.0-2
glfw-x11 3.3.2-2
glib-networking 2.66.0-1
glib2 2.66.4-2
glib2-docs 2.66.4-2
glibc 2.32-5
glibmm 2.64.5-1
glm 0.9.9.8-1
glslang 11.1.0-1
glu 9.0.1-2
glusterfs 1:8.2-2
gmime 2.6.23+4+g91dcee38-3
gmime3 3.2.7-1
gmp 6.2.1-1
gn 0.1831.e002e68a-1
gnome-autoar 0.2.4-2
